Source,Target,Weight,Type
I2L,M3R,2,Chemical
I5,M4,18.5,Chemical
I5,NSMR,17.5,Chemical
I5,M3L,12.5,Chemical
NSML,M4,12.5,Chemical
I4,NSML,8.5,Chemical
I5,pm5D,7.5,Chemical
NSML,NSMR,7,Chemical
NSML,pm5VR,7,Chemical
MCL,mc2DR,7,Chemical
NSML,M3L,6.5,Chemical
M3R,pm4D,6,Chemical
MCR,mc2DL,6,Chemical
M2R,pm4D,5.5,Chemical
I1L,I5,4.5,Chemical
M2R,pm5D,4,Chemical
I1R,MCL,4,Chemical
I2R,I5,4,Chemical
I2L,I2R,4,Chemical
I3,pm4D,3.5,Chemical
I5,pm5VR,3.5,Chemical
I5,I2L,3.5,Chemical
I5,MCR,3.5,Chemical
M2L,pm5D,3.5,Chemical
M3L,pm5D,3.5,Chemical
I3,M3R,3,Chemical
I5,I2R,3,Chemical
I1R,I2R,3,Chemical
I2R,I2L,3,Chemical
M3R,MI,3,Chemical
M3R,I1L,3,Chemical
M1,I5,2.5,Chemical
M1,I2R,2.5,Chemical
NSMR,I4,2.5,Chemical
I3,pm5D,2.5,Chemical
I3,MCR,2.5,Chemical
I2R,M1,2.5,Chemical
MCR,mc2DR,2.5,Chemical
I3,M3L,2,Chemical
I5,I1R,2,Chemical
I4,I5,2,Chemical
M2R,M3L,2,Chemical
I1R,I5,2,Chemical
MI,M2R,2,Chemical
MI,NSML,2,Chemical
I2L,pm5VR,2,Chemical
I2L,I5,2,Chemical
I3,NSMR,1.5,Chemical
I3,M2L,1.5,Chemical
I5,I1L,1.5,Chemical
I4,pm4VR,1.5,Chemical
I2R,M2R,1.5,Chemical
MI,NSMR,1.5,Chemical
MI,pm4VR,1.5,Chemical
I2L,M1,1.5,Chemical
I2L,pm5VL,1.5,Chemical
M1,pm5D,1,Chemical
NSMR,I2L,1,Chemical
NSMR,pm5VL,1,Chemical
I5,g1AR,1,Chemical
I5,g1AL,1,Chemical
M2R,M2L,1,Chemical
I1R,pm5VR,1,Chemical
I1R,M4,1,Chemical
I1R,I2L,1,Chemical
I1R,NSML,1,Chemical
I1L,I2L,1,Chemical
I2R,M4,1,Chemical
I2R,pm5VL,1,Chemical
M3R,MCL,1,Chemical
M3L,M3R,1,Chemical
I2L,pm5D,1,Chemical
M4,I5,0.5,Chemical
M4,I2L,0.5,Chemical
I3,M2R,0.5,Chemical
I5,bm,0.5,Chemical
NSML,I2R,0.5,Chemical
NSML,I5,0.5,Chemical
NSML,pm4VL,0.5,Chemical
NSML,NSML,0.5,Chemical
NSML,I2L,0.5,Chemical
I2R,MCL,0.5,Chemical
MI,I1L,0.5,Chemical
M3R,pm5D,0.5,Chemical
M3R,pm5VR,0.5,Chemical
M3L,MCL,0.5,Chemical
M3L,MI,0.5,Chemical
I6,M4,9.5,Chemical
I6,NSML,8,Chemical
M2R,pm5VR,3,Chemical
M2L,g1AL,3,Chemical
M2L,M3L,3,Chemical
NSMR,pm4D,2.5,Chemical
MCL,mc2V,2.5,Chemical
NSMR,I6,2,Chemical
I3,M4,2,Chemical
I2L,M4,2,Chemical
I2L,pm4VL,2,Chemical
I6,I2L,2,Chemical
I3,M1,1.5,Chemical
I1R,NSMR,1.5,Chemical
M2L,I3,1.5,Chemical
I1L,M3R,1.5,Chemical
MI,I3,1.5,Chemical
I2L,I1L,1.5,Chemical
M4,M2L,1,Chemical
M4,pm4VR,1,Chemical
M4,M3L,1,Chemical
M1,I3,1,Chemical
M1,I2L,1,Chemical
I4,MI,1,Chemical
I1R,MI,1,Chemical
I1R,M1,1,Chemical
I1R,I3,1,Chemical
MI,I4,1,Chemical
MI,pm4VL,1,Chemical
M3R,M4,1,Chemical
I2L,I6,1,Chemical
I6,NSMR,1,Chemical
I6,pm5D,1,Chemical
M4,I4,0.5,Chemical
M4,MCL,0.5,Chemical
M1,pm4D,0.5,Chemical
M1,I4,0.5,Chemical
M1,g1P,0.5,Chemical
I3,I1L,0.5,Chemical
I3,MI,0.5,Chemical
I3,I1R,0.5,Chemical
I4,pm4D,0.5,Chemical
I1R,pm4D,0.5,Chemical
I1R,M2L,0.5,Chemical
I1R,M3L,0.5,Chemical
M2L,M3R,0.5,Chemical
I1L,pm4D,0.5,Chemical
NSML,M3R,0.5,Chemical
I2R,pm4VL,0.5,Chemical
e2DR,e3D,2,Electrical
e2V,e3VR,1,Electrical
e2V,e3D,1,Electrical
pm5D,NSMR,2,Electrical
pm5D,I3,1,Electrical
pm5D,M3R,1,Electrical
pm5D,M4,1,Electrical
pm5D,M3L,1,Electrical
pm5D,M1,3,Electrical
pm3VL,e3VL,4,Electrical
pm4VR,M3R,1,Electrical
pm4VR,I1R,2,Electrical
e3VL,e2DL,1,Electrical
e3VL,I2L,2,Electrical
M5,pm6VR,2,Electrical
M5,M4,2,Electrical
M5,M5,1,Electrical
M5,I5,3,Electrical
M5,pm6VL,2,Electrical
M4,M4,1,Electrical
M4,pm5VR,1,Electrical
M4,I4,1,Electrical
M4,I6,5,Electrical
M4,M2L,1,Electrical
M4,g1AR,2,Electrical
M4,pm5VL,1,Electrical
M4,g1AL,7,Electrical
M1,I3,1,Electrical
M1,I2R,1,Electrical
pm3VR,I1R,3,Electrical
I1R,NSMR,2,Electrical
I1R,MCR,4,Electrical
I1R,I3,1,Electrical
NSMR,I2R,2,Electrical
NSMR,M3L,1,Electrical
NSMR,NSML,2,Electrical
g1AR,I5,2,Electrical
g1AR,M3R,5,Electrical
g1AR,M2R,2,Electrical
I3,pm4D,2,Electrical
I3,MI,1,Electrical
I5,M2L,1,Electrical
I5,M2R,1,Electrical
I5,g1AL,4,Electrical
I4,M2R,2,Electrical
I4,pm5VL,1,Electrical
M2R,I2R,1,Electrical
M2R,MI,5,Electrical
M2R,M3R,1,Electrical
M2R,MCR,9,Electrical
g1AL,M2L,2,Electrical
g1AL,M3L,2,Electrical
M2L,MCL,1,Electrical
M2L,I2L,1,Electrical
M2L,pm5VL,1,Electrical
M2L,pm4VL,1,Electrical
I1L,I2L,2,Electrical
I1L,M3L,1,Electrical
I1L,pm4VL,1,Electrical
I1L,MCR,1,Electrical
pm1,e3D,4,Electrical
pm4D,MI,3,Electrical
pm5VL,M3L,1,Electrical
e3VR,I2R,1,Electrical
pm5VR,M3R,1,Electrical
RIPL,mc2dl,2,Chemical
RIPL,pm3vl,4,Chemical
M1,RIPL,1,Chemical
RIPR,mc2dr,1,Chemical
RIPR,pm3vr,6,Chemical
RIPL,I1L,2,Electrical
RIPR,I1R,2,Electrical
